"Victor Legley","1632","Belgien","Gailly CD 87 123","","blegley","KOB","Carpe Diem Musikverlag","39,90","CD87123","","","","Gailly","20.4",""
"Vol. 1","75","Belgien","Ness Music","Erste CD des Orchesters, das heute unter dem Namen Concertband voor Vlaanderen auftritt.","blier","KOB","","","","","","","Ness","",""
"Welcome to Celebration","76","Belgien","Hafabra Music","","bhafabra1","KOB","Carpe Diem Musikverlag","39,90","ES47.195","","","","Hafabra","20.4",""
"Werner Brüggemann – Blasmusik-Festival","77","Belgien","ED","","","KOB","","","","","","","ED","",""
"Werner van Cleemput Composer","78","Belgien","Molenaar-CD 31.1029.72","","nlcleemputcomposers","KOB","Molenaar Edition BV","37,50","31.1029.72","","","","Molenaar","19.17",""
"Works for Piano and Wind Band","1633","Belgien","Gailly CD 87 066","","bstrawjongtae","KOB","Carpe Diem Musikverlag","39,90","CD87066","","","","Gailly","20.4",""
"15 anos de Banda Sinfonica","79","Brasilien","Horst Schwebel","Solide Produktion eines brasilianischen Universitätsblasorchesters. Dirigent Horst Schwebel stammt aus der Pfalz und lebt seit fast vier Jahrzehnten in Brasilien.","brabahia","KOB","","","","","","","Schwebel","","0:57:10"
"Compositores Brasileiros","80","Brasilien","Tatui","","bracompositoresbrasil","KOB","","","","","","","Tatui","",""
"Fantasia Coral – In nativitate Domini","81","Brasilien","Farias","Das einzige zivile Berufsblasorchester Brasiliens präsentiert aussergewöhnliche geistliche Musik.","dfcoral","KOB","","","","","","","Farias","",""
"Bulgarian Brass","83","Bulgarien","PAN 153 CD","Diese Einspielung vermittelt einen gelungenen Einblick in die weitgehend folkloristisch geprägte Blasmusik Bulgariens. Da die Volksmusik dieses Landes für ihre zum Teil sehr unregelmäßigen Rhythmen bekannt ist, ist als besonderer »Service« hinter jedem Stück die Taktart angegeben. Durchaus ein interessantes Ratespiel für diejenigen, die den 7/8-Takt (z.B. im ersten Satz von »Suite on Greek Love Songs« von Henk van Lijnschooten) quasi »mit links« erfassen.","bulgbulgarianbrass","KOBVOB","","","","","","","PAN-R","",""
